1,CUCS,TECNICO SUPERIOR UNIVERSITARIO EN RADIOLOGIA E IMAGEN,84.0200,94,94,173
1,CUCS,TECNICO SUPERIOR UNIVERSITARIO EN TERAPIA RESPIRATORIA ,81.0000,32,32,43
1,CUCSH,ABOGADO,136.6233,420,420,975
1,CUCSH,ABOGADO (SEMIESCOLARIZADO),126.7667,200,200,379
1,CUCSH,LICENCIATURA EN ANTROPOLOGIA,119.0833,40,40,47
1,CUCSH,LICENCIATURA EN FILOSOFIA,75.6300,60,60,67
1,CUCSH,LICENCIATURA EN GEOGRAFIA,76.6700,50,16,16
1,CUCSH,LICENCIATURA EN HISTORIA,69.0000,90,77,77
1,CUCSH,LICENCIATURA EN LETRAS HISPANICAS,126.0167,82,82,93
1,CUCSH,LICENCIATURA EN COMUNICACION PUBLICA,138.3533,35,35,88
1,CUCSH,LICENCIATURA EN CRIMINOLOGIA,131.3367,90,90,231
1,CUCSH,LICENCIATURA EN ESTUDIOS POLITICOS Y GOBIERNO,61.6900,80,65,65
1,CUCSH,LICENCIATURA EN RELACIONES INTERNACIONALES,144.6467,80,80,173
1,CUCSH,LICENCIATURA EN SOCIOLOGIA,68.3300,80,60,60
1,CUCSH,LICENCIATURA EN TRABAJO SOCIAL (ESCOLARIZADA),111.5467,153,153,187
1,CUCSH,LICENCIATURA EN TRABAJO SOCIAL (NIVELACION),69.0000,37,37,37
1,CUALTOS,ABOGADO,120.9367,44,44,56
1,CUALTOS,LICENCIATURA EN ADMINISTRACION,113.0833,44,37,37
1,CUALTOS,LICENCIATURA EN CIRUJANO DENTISTA,158.6200,44,44,189
1,CUALTOS,LICENCIATURA EN CONTADURIA PUBLICA,130.5067,44,44,57
1,CUALTOS,LICENCIATURA EN ENFERMERIA,121.3867,44,44,62
1,CUALTOS,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,146.2500,44,44,146
1,CUALTOS,LICENCIATURA EN NEGOCIOS INTERNACIONALES,103.0700,47,47,47
1,CUALTOS,LICENCIATURA EN NUTRICION,125.0167,44,44,77
1,CUALTOS,LICENCIATURA EN PSICOLOGIA ,127.5200,44,44,66
1,CUALTOS,MEDICO CIRUJANO Y PARTERO,176.8667,44,44,276
1,CUCI,ABOGADO,71.4300,35,10,10
1,CUCI,LICENCIATURA EN ADMINISTRACION,81.2300,35,5,5
1,CUCI,LICENCIATURA EN AGROBIOTECNOLOGIA,69.0000,35,23,23
1,CUCI,LICENCIATURA EN AGRONEGOCIOS,68.0000,35,10,10
1,CUCI,ABOGADO,96.4167,40,37,37
1,CUCI,INGENIERIA EN COMPUTACION,71.0000,35,24,24
1,CUCI,INGENIERIA INDUSTRIAL,114.6400,40,40,50
1,CUCI,INGENIERIA INFORMATICA,65.4900,35,24,24
1,CUCI,INGENIERIA QUIMICA,137.1267,40,40,68
1,CUCI,LICENCIATURA EN ADMINISTRACION,71.0000,40,39,39
1,CUCI,LICENCIATURA EN CONTADURIA PUBLICA,76.0000,40,26,26
1,CUCI,LICENCIATURA EN MERCADOTECNIA,70.0000,40,20,20
1,CUCI,LICENCIATURA EN NEGOCIOS INTERNACIONALES,106.2100,40,40,41
1,CUCI,LICENCIATURA EN PSICOLOGIA ,70.0000,80,70,70
1,CUCI,LICENCIATURA EN QUIMICO FARMACEUTICO BIOLOGO,144.7467,60,60,139
1,CUCI,LICENCIATURA EN RECURSOS HUMANOS,70.9400,40,20,20
1,CUCI,MEDICO CIRUJANO Y PARTERO,171.5600,30,30,263
1,CUCI,ABOGADO,76.0000,35,4,4
1,CUCI,LICENCIATURA EN ADMINISTRACION,69.0000,35,17,17
1,CUCI,LICENCIATURA EN CONTADURIA PUBLICA,71.5600,35,14,14
1,CUCI,LICENCIATURA EN PSICOLOGIA ,74.9500,35,12,12
1,CUCI,LICENCIATURA EN RECURSOS HUMANOS,83.3600,35,5,5
1,CUCOSTA,ABOGADO,70.9300,52,44,44
